iter	Passed	Remaining
758	15525	4929
759	15542	4908
760	15563	4887
761	15579	4866
762	15604	4846
763	15624	4826
764	15644	4805
765	15666	4785
766	15678	4762
767	15685	4738
768	15710	4719
769	15722	4696
770	15742	4675
771	15763	4655
772	15788	4636
773	15808	4615
774	15828	4595
775	15854	4576
776	15883	4558
777	15895	4535
778	15911	4513
779	15932	4493
780	15948	4471
781	15969	4451
782	15975	4427
783	15996	4407
784	16021	4388
785	16037	4366
786	16065	4348
787	16092	4329
788	16117	4310
789	16134	4288
790	16155	4268
791	16175	4248
792	16201	4229
793	16227	4210
794	16248	4189
795	16276	4171
796	16293	4149
797	16314	4129
798	16335	4109
799	16360	4090
800	16381	4069
801	16403	4049
802	16425	4029
803	16450	4010
804	16468	3989
805	16480	3966
806	16502	3946
807	16527	3927
808	16549	3907
809	16574	3887
810	16595	3867
811	16610	3845
812	16621	3823
813	16647	3803
814	16670	3783
815	16696	3764
816	16722	3745
817	16747	3726
818	16782	3708
819	16811	3690
820	16836	3670
821	16866	3652
822	16898	3634
823	16922	3614
824	16950	3595
825	16974	3575
826	16991	3554
827	17011	3533
828	17027	3512
829	17052	3492
830	17072	3472
831	17094	3451
832	17121	3432
833	17132	3410
834	17147	3388
835	17172	3368
836	17193	3348
837	17213	3327
838	17235	3307
839	17260	3287
840	17285	3267
841	17307	3247
842	17333	3228
843	17359	3208
844	17385	3188
845	17400	3167
846	17416	3146
847	17431	3124
848	17451	3103
849	17471	3083
850	17491	3062
851	17514	3042
852	17549	3024
853	17565	3002
854	17585	2982
855	17605	2961
856	17626	2941
857	17632	2918
858	17653	2897
859	17677	2877
860	17703	2857
861	17724	2837
862	17749	2817
863	17765	2796
864	17781	2775
865	17806	2755
866	17831	2735
867	17856	2715
868	17882	2695
869	17888	2673
870	17910	2652
871	17926	2631
872	17951	2611
873	17962	2589
874	17986	2569
875	18006	2548
876	18022	2527
877	18042	2507
878	18059	2486
879	18079	2465
880	18106	2445
881	18122	2424
882	18144	2404
883	18160	2383
884	18171	2361
885	18196	2341
886	18217	2320
887	18242	2300
888	18262	2280
889	18283	2259
890	18308	2239
891	18331	2219
892	18353	2199
893	18373	2178
894	18393	2157
895	18418	2137
896	18443	2117
897	18463	2097
898	18483	2076
899	18495	2055
900	18520	2035
901	18538	2014
902	18564	1994
903	18575	1972
904	18586	1951
905	18597	1929
906	18617	1908
907	18637	1888
908	18653	1867
909	18669	1846
910	18694	1826
911	18714	1805
912	18738	1785
913	18755	1764
914	18780	1744
915	18800	1724
916	18820	1703
917	18846	1683
918	18863	1662
919	18888	1642
920	18903	1621
921	18928	1601
922	18950	1580
923	18957	1559
924	18968	1538
925	18980	1516
926	19001	1496
927	19021	1475
928	19043	1455
929	19063	1434
930	19079	1414
931	19099	1393
932	19111	1372
933	19122	1351
934	19134	1330
935	19156	1309
936	19178	1289
937	19204	1269
938	19226	1248
939	19247	1228
940	19263	1207
941	19289	1187
942	19311	1167
943	19331	1146
